layer,hook_name,metric,mean_delta,std_delta,n_examples
0,blocks.0.hook_resid_post,logit,-0.5309495192307693,0.4604302801508309,104
1,blocks.1.hook_resid_post,logit,-0.5161884014423077,0.48744890169438265,104
2,blocks.2.hook_resid_post,logit,-0.5523963341346154,0.49339407825851156,104
3,blocks.3.hook_resid_post,logit,-0.8905498798076923,0.7360051617361324,104
4,blocks.4.hook_resid_post,logit,-0.9205979567307693,0.6956844982451718,104
5,blocks.5.hook_resid_post,logit,-0.86767578125,0.8437515253288477,104
6,blocks.6.hook_resid_post,logit,-0.8167067307692307,0.8502687165293537,104
7,blocks.7.hook_resid_post,logit,-0.6782977764423077,0.7477826508669412,104
8,blocks.8.hook_resid_post,logit,-0.5492037259615384,0.7105649310896132,104
9,blocks.9.hook_resid_post,logit,-0.5662560096153846,0.7300665604094788,104
10,blocks.10.hook_resid_post,logit,-0.6325495793269231,0.8224782625053931,104
11,blocks.11.hook_resid_post,logit,-0.7610426682692307,0.9422889546326195,104
12,blocks.12.hook_resid_post,logit,-0.6190655048076923,0.8607028887437783,104
13,blocks.13.hook_resid_post,logit,-0.8199744591346154,0.987199969377491,104
14,blocks.14.hook_resid_post,logit,-0.3623798076923077,0.9001324949327639,104
15,blocks.15.hook_resid_post,logit,-0.3082932692307692,1.1057863332438618,104
16,blocks.16.hook_resid_post,logit,-0.17510516826923078,1.1557289863683746,104
17,blocks.17.hook_resid_post,logit,-1.09619140625,1.2436728554471441,104
18,blocks.18.hook_resid_post,logit,-1.2126652644230769,1.4623154077185647,104
19,blocks.19.hook_resid_post,logit,-0.689453125,1.28361164583649,104
20,blocks.20.hook_resid_post,logit,0.22239332932692307,1.2975299807205527,104
21,blocks.21.hook_resid_post,logit,1.1612079326923077,1.601768319303745,104
22,blocks.22.hook_resid_post,logit,1.5109675480769231,1.7355886012849948,104
23,blocks.23.hook_resid_post,logit,1.9384765625,2.003505837667656,104
24,blocks.24.hook_resid_post,logit,2.0591947115384617,2.2748384447757872,104
25,blocks.25.hook_resid_post,logit,2.7132662259615383,2.524321386511084,104
26,blocks.26.hook_resid_post,logit,3.690204326923077,2.9287975022004655,104
27,blocks.27.hook_resid_post,logit,4.583834134615385,2.8853164980892267,104
28,blocks.28.hook_resid_post,logit,4.513371394230769,3.022114336739466,104
29,blocks.29.hook_resid_post,logit,4.193209134615385,2.8586314290229544,104
30,blocks.30.hook_resid_post,logit,4.416165865384615,2.834861607872113,104
31,blocks.31.hook_resid_post,logit,4.858924278846154,2.7365995365474403,104
32,blocks.32.hook_resid_post,logit,5.6240234375,2.744146880553368,104
33,blocks.33.hook_resid_post,logit,6.514798677884615,2.9018839804406396,104
34,blocks.34.hook_resid_post,logit,6.9042217548076925,2.9042140415463225,104
35,blocks.35.hook_resid_post,logit,6.853740985576923,2.8754809666239467,104
