layer,component,hook_name,metric,mean_delta,std_delta,n_examples
24,attn_out,blocks.24.hook_attn_out,logit,0.04893092105263158,0.11965565546434363,38
24,mlp_out,blocks.24.hook_mlp_out,logit,0.07072368421052631,0.15924025678724538,38
25,attn_out,blocks.25.hook_attn_out,logit,-0.0012335526315789473,0.12446473121638685,38
25,mlp_out,blocks.25.hook_mlp_out,logit,-0.037623355263157895,0.14817450099925136,38
29,attn_out,blocks.29.hook_attn_out,logit,-0.002055921052631579,0.11412357517896438,38
29,mlp_out,blocks.29.hook_mlp_out,logit,-0.06599506578947369,0.1409261200846881,38
30,attn_out,blocks.30.hook_attn_out,logit,0.08244243421052631,0.06314848770547714,38
30,mlp_out,blocks.30.hook_mlp_out,logit,0.055098684210526314,0.28302128142856176,38
31,attn_out,blocks.31.hook_attn_out,logit,0.11019736842105263,0.04690277448842391,38
31,mlp_out,blocks.31.hook_mlp_out,logit,0.39864309210526316,0.44500488294179263,38
