layer,clean_mean_delta,clean_std_delta,clean_n_examples,noisy_mean_delta,noisy_std_delta,noisy_n_examples,delta_gap,clean_rank,noisy_rank
0,-0.1073190789473684,0.2508673997074013,38,0.1519097222222222,0.2148493334751884,54,0.25922880116959063,32,29
1,0.1342516447368421,0.3581788962577467,38,0.18070023148148148,0.459833248907952,54,0.04644858674463939,30,27
2,0.2109375,0.3184764243974104,38,0.2964409722222222,0.4016642276103805,54,0.08550347222222221,28,26
3,0.39453125,0.4184307523349326,38,0.5604745370370371,0.5546557034493429,54,0.1659432870370371,25,22
4,0.3036595394736842,0.4554749288724573,38,0.4195601851851852,0.5751245395486119,54,0.115900645711501,26,25
5,0.4553865131578947,0.4179817064120326,38,0.4742476851851852,0.6525079138809915,54,0.018861172027290485,23,24
6,0.4288651315789473,0.4706352484272128,38,0.4848090277777778,0.6520873579349902,54,0.0559438961988305,24,23
7,0.2828947368421052,0.5896774166279475,38,0.17563657407407407,0.6662063769031973,54,-0.10725816276803113,27,28
8,-0.0219983552631578,0.7499512918427301,38,-0.42549189814814814,0.9569218482460792,54,-0.40349354288499034,31,32
9,0.2105263157894736,0.593902639098322,38,-0.3266059027777778,0.9169677013242292,54,-0.5371322185672514,29,31
10,0.7374588815789473,0.6300616916445074,38,0.07219328703703703,1.0051894194901334,54,-0.6652655945419104,22,30
11,1.4066611842105263,0.8021506344422225,38,1.3194444444444444,1.0242958811459064,54,-0.08721673976608191,21,21
12,1.654810855263158,0.95711265556834,38,1.810474537037037,1.1257420913635015,54,0.15566368177387901,17,20
13,2.0133634868421053,1.2029589597478718,38,2.4347511574074074,1.2114686690778445,54,0.42138767056530213,16,16
14,1.6428865131578947,1.093734778934172,38,2.161892361111111,1.26581553628755,54,0.5190058479532165,19,19
15,1.5004111842105263,1.0694605496795369,38,2.2106481481481484,1.2812949066737012,54,0.710236963937622,20,18
16,1.6515213815789471,1.0963237988345935,38,2.3622685185185186,1.3221340115812161,54,0.7107471369395715,18,17
17,2.0324835526315788,1.1956216290062298,38,3.040653935185185,1.3386766781531074,54,1.0081703825536064,15,15
18,2.2025082236842106,1.19764511620114,38,3.3402777777777777,1.396645386644645,54,1.137769554093567,12,13
19,2.2107319078947367,1.1941236619722029,38,3.3715277777777777,1.3973238281442442,54,1.160795869883041,11,12
20,2.0953947368421053,1.1573482473330992,38,3.3080150462962963,1.371741154714983,54,1.212620309454191,14,14
21,2.1955180921052637,1.148901339903433,38,3.4691840277777777,1.3631349275987763,54,1.273665935672514,13,11
22,2.276315789473684,1.15149998605918,38,3.6138599537037037,1.3641788845956995,54,1.3375441642300196,10,10
23,2.3961759868421053,1.151419024429166,38,3.820167824074074,1.3496721623698813,54,1.4239918372319686,7,6
24,2.414473684210526,1.1588378798449006,38,3.7939814814814814,1.347391040092601,54,1.3795077972709553,5,7
25,2.427220394736842,1.1393807212441087,38,3.8274016203703702,1.2837249850359156,54,1.4001812256335282,3,5
26,2.3733552631578947,1.1208134580142262,38,3.775028935185185,1.2703226892889505,54,1.4016736720272904,9,9
27,2.376027960526316,1.1134317051792002,38,3.7887731481481484,1.2993731293887072,54,1.4127451876218324,8,8
28,2.405838815789474,1.126484315719669,38,3.888310185185185,1.2931477661279511,54,1.4824713693957112,6,3
29,2.4187911184210527,1.1271629853485086,38,3.859519675925926,1.2889981676527995,54,1.4407285575048734,4,4
30,2.4934210526315788,1.1392206134639118,38,3.9416956018518516,1.297492636231143,54,1.4482745492202729,2,2
31,2.573190789473684,1.145657488918291,38,4.00708912037037,1.3036568142791825,54,1.4338983308966862,1,1
