condition,layer,n_examples,mean_gold_logit,std_gold_logit,mean_gold_rank,median_gold_rank,top1_rate,top1_count
cell_B,0,104,2.1814,4.1326,53627.96,37012,0.0,0
cell_B,1,104,0.0207,3.5498,73657.68,63361,0.0,0
cell_B,2,104,0.2868,3.5833,70902.66,61812,0.0,0
cell_B,3,104,0.6647,3.6108,66376.88,57533,0.0,0
cell_B,4,104,0.6148,3.7891,68633.09,57967,0.0,0
cell_B,5,104,-0.3078,3.7098,79965.94,92726,0.0,0
cell_B,6,104,-0.142,3.5305,78048.67,86907,0.0,0
cell_B,7,104,1.1565,4.21,66411.5,71479,0.0,0
cell_B,8,104,1.8761,4.341,58938.53,62331,0.0,0
cell_B,9,104,1.8207,3.9624,58412.09,61010,0.0,0
cell_B,10,104,1.8268,3.7256,55867.34,55484,0.0,0
cell_B,11,104,2.207,3.7367,50702.06,42258,0.0,0
cell_B,12,104,3.3241,3.8413,38714.13,16631,0.0,0
cell_B,13,104,3.9659,3.8949,34199.78,10223,0.0,0
cell_B,14,104,3.4841,3.3125,33753.56,12990,0.0,0
cell_B,15,104,4.2656,3.6207,28772.52,10657,0.0,0
cell_B,16,104,4.6838,3.9736,27831.66,7414,0.0,0
cell_B,17,104,4.8432,3.4852,22494.94,4383,0.0,0
cell_B,18,104,4.9442,3.5148,21049.5,6326,0.0,0
cell_B,19,104,5.3428,3.9355,21469.81,7609,0.0096,1
cell_B,20,104,3.6861,2.9547,27526.28,10069,0.0,0
cell_B,21,104,3.916,3.1059,26761.36,10429,0.0,0
cell_B,22,104,3.8397,2.8369,24625.68,8172,0.0,0
cell_B,23,104,4.2548,3.398,25920.72,8330,0.0,0
cell_B,24,104,4.0421,3.2415,26927.84,11209,0.0,0
cell_B,25,104,5.141,3.6602,21668.72,4329,0.0096,1
cell_B,26,104,6.2977,4.3658,19907.17,1197,0.0096,1
cell_B,27,104,8.4671,5.1738,14208.91,156,0.0288,3
cell_B,28,104,8.5868,4.3077,7926.26,78,0.0288,3
cell_B,29,104,9.0244,4.3653,6109.94,63,0.0865,9
cell_B,30,104,12.3016,6.2231,4279.71,20,0.1538,16
cell_B,31,104,13.3796,6.5215,2498.89,11,0.2308,24
cell_B,32,104,15.3524,6.7482,1617.5,6,0.25,26
cell_B,33,104,18.4069,6.6372,225.78,4,0.1923,20
cell_B,34,104,17.7028,5.1753,130.13,3,0.2308,24
cell_B,35,104,15.5396,3.1905,129.31,3,0.0769,8
cell_D,0,104,1.9524,3.5577,52481.51,50643,0.0,0
cell_D,1,104,0.1309,3.1538,74139.22,77602,0.0,0
cell_D,2,104,0.6335,3.3945,68694.7,73577,0.0,0
cell_D,3,104,1.5632,3.5691,58109.94,54397,0.0,0
cell_D,4,104,1.9701,3.8415,54827.78,52794,0.0,0
cell_D,5,104,1.8466,3.8052,56325.09,47780,0.0,0
cell_D,6,104,1.35,3.2537,59450.2,57859,0.0,0
cell_D,7,104,2.5932,3.7758,48733.85,52466,0.0,0
cell_D,8,104,3.1751,4.101,44950.15,39255,0.0,0
cell_D,9,104,3.1584,3.9144,43163.93,29922,0.0,0
cell_D,10,104,3.3017,4.0615,42513.61,33410,0.0,0
cell_D,11,104,3.0738,3.955,43376.42,28553,0.0,0
cell_D,12,104,4.1503,4.1821,33952.02,16327,0.0,0
cell_D,13,104,3.2127,3.6731,39744.31,24595,0.0,0
cell_D,14,104,3.5409,3.5947,35072.82,27625,0.0,0
cell_D,15,104,1.8896,2.6152,47080.88,34763,0.0,0
cell_D,16,104,2.3022,2.7958,42900.42,38532,0.0,0
cell_D,17,104,2.5539,3.0884,42127.89,26945,0.0,0
cell_D,18,104,2.8079,3.0978,37604.05,26134,0.0,0
cell_D,19,104,2.5716,3.0549,39250.95,30229,0.0,0
cell_D,20,104,3.2496,3.6975,37371.27,24236,0.0,0
cell_D,21,104,2.2531,2.8923,42688.51,28024,0.0,0
cell_D,22,104,2.7197,2.5991,33660.29,17071,0.0,0
cell_D,23,104,2.2468,2.5641,40469.27,35315,0.0,0
cell_D,24,104,2.0472,2.3538,39974.56,35222,0.0,0
cell_D,25,104,2.6273,2.3968,33552.58,20351,0.0,0
cell_D,26,104,4.2137,3.0517,22446.18,7574,0.0,0
cell_D,27,104,8.1778,3.7147,7655.04,146,0.0288,3
cell_D,28,104,8.8454,3.0821,4174.96,79,0.0288,3
cell_D,29,104,11.1104,3.4366,2182.12,8,0.1154,12
cell_D,30,104,15.3237,4.9107,371.91,2,0.3077,32
cell_D,31,104,19.4877,4.3682,9.05,0,0.625,65
cell_D,32,104,22.5707,4.3576,1.44,0,0.7212,75
cell_D,33,104,25.4751,4.4863,1.37,0,0.75,78
cell_D,34,104,23.8092,2.5232,0.35,0,0.8269,86
cell_D,35,104,22.3935,1.3933,0.11,0,0.9327,97
