model,diagnostic,source_cell,donor_cell,contrast_file,layer,hook,token_position,n_train,n_test,alpha,mean_vector_l2_norm,mean_delta_gold_logit,median_delta_gold_logit,std_delta_gold_logit,mean_delta_gold_rank,median_delta_gold_rank,std_delta_gold_rank,baseline_top1_rate,steered_top1_rate,top1_improvement,n_rows,best_alpha_by_delta_logit_for_layer,best_alpha_by_top1_for_layer
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,31,resid_post,final_prompt_token,72,32,0.25,83.96696472167969,0.730712890625,0.61328125,0.5557729818797804,5.9375,0.0,25.924092920486146,0.09375,0.1875,0.09375,32,0.75,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,31,resid_post,final_prompt_token,72,32,0.5,83.96696472167969,1.241455078125,1.0625,1.0984385407661292,6.59375,0.0,29.571797560133202,0.09375,0.125,0.03125,32,0.75,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,31,resid_post,final_prompt_token,72,32,0.75,83.96696472167969,1.446533203125,1.125,1.6366116618445679,6.6875,0.0,30.056652237899016,0.09375,0.125,0.03125,32,0.75,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,31,resid_post,final_prompt_token,72,32,1.0,83.96696472167969,1.36328125,0.71875,2.1851584845358616,5.84375,-1.0,30.876881901148955,0.09375,0.0625,-0.03125,32,0.75,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,72,32,0.25,94.50843048095703,0.7177734375,0.6171875,0.4316925431870022,5.4375,0.0,24.65630941057481,0.09375,0.15625,0.0625,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,72,32,0.5,94.50843048095703,1.295166015625,1.1875,0.8940294682448557,6.75,0.0,29.75945227990596,0.09375,0.125,0.03125,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,72,32,0.75,94.50843048095703,1.6357421875,1.5234375,1.3285640215337629,6.8125,0.0,30.734180381946093,0.09375,0.125,0.03125,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,32,resid_post,final_prompt_token,72,32,1.0,94.50843048095703,1.69384765625,1.4453125,1.7248619991884877,6.6875,0.5,30.502497336283795,0.09375,0.125,0.03125,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,33,resid_post,final_prompt_token,72,32,0.25,107.4515151977539,0.515625,0.53515625,0.19279629186332917,2.5,0.0,9.56229574945264,0.09375,0.1875,0.09375,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,33,resid_post,final_prompt_token,72,32,0.5,107.4515151977539,0.933837890625,0.93359375,0.4361507181471528,3.8125,0.5,15.460509168523526,0.09375,0.15625,0.0625,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,33,resid_post,final_prompt_token,72,32,0.75,107.4515151977539,1.217041015625,1.234375,0.744821432270236,3.90625,0.0,17.105115051863873,0.09375,0.15625,0.0625,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,33,resid_post,final_prompt_token,72,32,1.0,107.4515151977539,1.331787109375,1.3046875,1.1322651297025257,3.5625,0.0,18.0743905498913,0.09375,0.125,0.03125,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,0.25,121.05156707763672,0.365478515625,0.40625,0.2315399362791062,2.53125,0.0,10.42528289484271,0.09375,0.15625,0.0625,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,0.5,121.05156707763672,0.64013671875,0.7421875,0.528340845184996,3.84375,0.0,15.502236481795135,0.09375,0.15625,0.0625,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,0.75,121.05156707763672,0.79541015625,0.8984375,0.9051495151410798,3.65625,0.0,16.268469071719686,0.09375,0.125,0.03125,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,34,resid_post,final_prompt_token,72,32,1.0,121.05156707763672,0.80126953125,0.78125,1.3644726637984712,2.71875,-0.5,16.492866592484763,0.09375,0.0625,-0.03125,32,1.0,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,35,resid_post,final_prompt_token,72,32,0.25,144.6836700439453,-0.105224609375,-0.1640625,0.4637262712561881,2.1875,0.0,8.661832586121715,0.09375,0.125,0.03125,32,0.25,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,35,resid_post,final_prompt_token,72,32,0.5,144.6836700439453,-0.280029296875,-0.40625,0.9630235499001054,2.8125,-0.5,15.23244378784967,0.09375,0.0625,-0.03125,32,0.25,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,35,resid_post,final_prompt_token,72,32,0.75,144.6836700439453,-0.535888671875,-0.7421875,1.498284769876586,2.15625,-1.0,16.577675830390096,0.09375,0.0625,-0.03125,32,0.25,0.25
Qwen/Qwen2.5-3B,layer_sweep,B,D,dataset\processed\qwen2.5-3b\noisy_contrast_examples.json,35,resid_post,final_prompt_token,72,32,1.0,144.6836700439453,-0.888916015625,-1.203125,2.0615201847948863,-1.84375,-2.0,17.78712556703584,0.09375,0.0625,-0.03125,32,0.25,0.25
